"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CfgMagazines_Ammo_new_8mmM88", "8MM M88", "8MM M88", "8MM M88", "8MM M88", "8MM M88", "8MM M88", "8MM M88", "8MM M88", "8MM M88", "8MM M88", "8MM M88", "8MM M88", "8MM M88", "8MM M88"
"STR_CfgMagazines_Ammo_new_8mmDM88", "8MM M88. Used in some riffles", "8MM M88. Used in some riffles", "8MM M88. Used in some riffles", "8MM M88. Используется в некоторых винтовках", "8MM M88. Used in some riffles", "8MM M88. Used in some riffles", "8MM M88. Used in some riffles", "8MM M88. Used in some riffles", "8MM M88. Used in some riffles", "8MM M88. Used in some riffles", "8MM M88. Used in some riffles", "8MM M88. Used in some riffles", "8MM M88. Used in some riffles", "8MM M88. Used in some riffles"
"STR_CfgMagazines_Ammo_new_8mmS", "8MM S", "8MM S", "8MM S", "8MM S", "8MM S", "8MM S", "8MM S", "8MM S", "8MM S", "8MM S", "8MM S", "8MM S", "8MM S", "8MM S"
"STR_CfgMagazines_Ammo_new_8mmDS", "8MM S. Used in some riffles", "8MM S. Used in some riffles", "8MM S. Used in some riffles", "8MM S. Используется в некоторых винтовках", "8MM S. Used in some riffles", "8MM S. Used in some riffles", "8MM S. Used in some riffles", "8MM S. Used in some riffles", "8MM S. Used in some riffles", "8MM S. Used in some riffles", "8MM S. Used in some riffles", "8MM S. Used in some riffles", "8MM S. Used in some riffles", "8MM S. Used in some riffles"
"str_cfgmagazines_ammo_new_12gabuckshot50","12ga 5.25mm buckshot","12ga 5.25mm buckshot","12ga 5.25mm buckshot","12ga 5.25mm buckshot","Патроны 12 калибра с картечью 5.25мм","12ga 5.25mm buckshot","12ga 5.25mm buckshot","12ga 5.25mm buckshot","12ga 5.25mm buckshot","12ga 5.25mm buckshot","12ga 5.25mm buckshot","12ga 5.25mm buckshot","12ga 5.25mm buckshot","12ga 5.25mm buckshot",
"str_cfgmagazines_ammo_new_12gabuckshot51","12ga 5.25mm buckshot. Used in shotguns.","12ga 5.25mm buckshot. Used in shotguns.","12ga 5.25mm buckshot. Used in shotguns.","12ga 5.25mm buckshot. Used in shotguns.","Патрон 12 калибра с картечью 5.25мм. Используется в дробовиках.","12ga 5.25mm buckshot. Used in shotguns.","12ga 5.25mm buckshot. Used in shotguns.","12ga 5.25mm buckshot. Used in shotguns.","12ga 5.25mm buckshot. Used in shotguns.","12ga 5.25mm buckshot. Used in shotguns.","12ga 5.25mm buckshot. Used in shotguns.","12ga 5.25mm buckshot. Used in shotguns.","12ga 5.25mm buckshot. Used in shotguns.","12ga 5.25mm buckshot. Used in shotguns.",
"str_cfgmagazines_ammo_new_12gaexpressbuckshot60","12ga 6.5mm 'Express' buckshot","12ga 6.5mm 'Express' buckshot","12ga 6.5mm 'Express' buckshot","12ga 6.5mm 'Express' buckshot","Патроны 12 калибра с картечью 6.5мм "Экспресс"","12ga 6.5mm 'Express' buckshot","12ga 6.5mm 'Express' buckshot","12ga 6.5mm 'Express' buckshot","12ga 6.5mm 'Express' buckshot","12ga 6.5mm 'Express' buckshot","12ga 6.5mm 'Express' buckshot","12ga 6.5mm 'Express' buckshot","12ga 6.5mm 'Express' buckshot","12ga 6.5mm 'Express' buckshot",
"str_cfgmagazines_ammo_new_12gaexpressbuckshot61","12ga 6.5mm 'Express' buckshot. Used in shotguns.","12ga 6.5mm 'Express' buckshot. Used in shotguns.","12ga 6.5mm 'Express' buckshot. Used in shotguns.","12ga 6.5mm 'Express' buckshot. Used in shotguns.","Патрон 12 калибра с картечью 6.5мм "Экспресс". Используется в дробовиках.","12ga 6.5mm 'Express' buckshot. Used in shotguns.","12ga 6.5mm 'Express' buckshot. Used in shotguns.","12ga 6.5mm 'Express' buckshot. Used in shotguns.","12ga 6.5mm 'Express' buckshot. Used in shotguns.","12ga 6.5mm 'Express' buckshot. Used in shotguns.","12ga 6.5mm 'Express' buckshot. Used in shotguns.","12ga 6.5mm 'Express' buckshot. Used in shotguns.","12ga 6.5mm 'Express' buckshot. Used in shotguns.","12ga 6.5mm 'Express' buckshot. Used in shotguns.",
"str_cfgmagazines_ammo_new_12gabuckshot70","12ga 7mm buckshot","12ga 7mm buckshot","12ga 7mm buckshot","12ga 7mm buckshot","Патроны 12 калибра с картечью 7мм","12ga 7mm buckshot","12ga 7mm buckshot","12ga 7mm buckshot","12ga 7mm buckshot","12ga 7mm buckshot","12ga 7mm buckshot","12ga 7mm buckshot","12ga 7mm buckshot","12ga 7mm buckshot",
"str_cfgmagazines_ammo_new_12gabuckshot71","12ga 7mm buckshot. Used in shotguns.","12ga 7mm buckshot. Used in shotguns.","12ga 7mm buckshot. Used in shotguns.","12ga 7mm buckshot. Used in shotguns.","Патрон 12 калибра с картечью 7мм. Используется в дробовиках.","12ga 7mm buckshot. Used in shotguns.","12ga 7mm buckshot. Used in shotguns.","12ga 7mm buckshot. Used in shotguns.","12ga 7mm buckshot. Used in shotguns.","12ga 7mm buckshot. Used in shotguns.","12ga 7mm buckshot. Used in shotguns.","12ga 7mm buckshot. Used in shotguns.","12ga 7mm buckshot. Used in shotguns.","12ga 7mm buckshot. Used in shotguns.",
